COUNTY,TURNOUT,PARTY
ALAMANCE,2622.734988,R
ALEXANDER,7418.503263,R
ALLEGHANY,4169.3635,R
ANSON,2019.51408,D
ASHE,4549.8942,R
AVERY,1434.80502,R
BEAUFORT,5144.251617,R
BERTIE,4536.296238,D
BLADEN,4142.226683,R
BRUNSWICK,4069.205339,R
BUNCOMBE,5742.942909,D
BURKE,1398.791993,R
CABARRUS,4171.487478,R
CALDWELL,19894.79199,R
CAMDEN,9760.7801,R
CARTERET,3213.989179,R
CASWELL,8547.463625,R
CATAWBA,2795.645952,R
CHATHAM,9572.285709,D
CHEROKEE,10392.34727,R
CHOWAN,5070.828425,R
CLAY,2121.630567,R
CLEVELAND,5273.250681,R
COLUMBUS,6083.825432,R
CRAVEN,4360.078221,R
CUMBERLAND,2751.314557,D
CURRITUCK,408.7104662,R
DARE,542.9774769,R
DAVIDSON,2539.961802,R
DAVIE,657.6538415,R
DUPLIN,805.6415308,R
DURHAM,2487.837748,D
EDGECOMBE,1559.722345,D
FORSYTH,2600.842395,D
FRANKLIN,969.8184692,R
GASTON,1812.667603,R
GATES,397.5470123,R
GRAHAM,143.1731862,R
GRANVILLE,1168.037412,R
GREENE,550.8470308,R
GUILFORD,3600.044183,D
HALIFAX,685.6273462,D
HARNETT,1513.943486,R
HAYWOOD,1179.520045,R
HENDERSON,1505.322708,R
HERTFORD,495.2908662,D
HOKE,727.9005138,D
HYDE,76.05648615,R
IREDELL,1827.940848,R
JACKSON,292.1676446,R
JOHNSTON,3028.897858,R
JONES,255.3895,R
LEE,323.3675492,R
LENOIR,601.0616169,R
LINCOLN,1333.596658,R
MACON,638.1950569,R
MADISON,656.6927492,R
MARTIN,462.6188723,R
MCDOWELL,720.3311231,R
MECKLENBURG,5976.678883,D
MITCHELL,519.0516077,R
MONTGOMERY,2979.592989,R
MOORE,1018.75568,R
NASH,975.3894492,D
NORTHAMPTON,585.0167385,D
ONSLOW,1917.873082,R
ORANGE,3051.701508,D
PAMLICO,279.1109938,R
PASQUOTANK,661.9287262,D
PENDER,955.4941415,R
PERQUIMANS,963.2158985,R
PERSON,598.8197846,R
PITT,1794.873785,D
POLK,774.9908769,R
RANDOLPH,1665.832715,R
RICHMOND,2956.484477,R
ROBESON,1537.308871,R
ROCKINGHAM,913.6360185,R
ROWAN,1936.966975,R
RUTHERFORD,1441.599902,R
SAMPSON,2249.123046,R
SCOTLAND,400.9129138,R
STANLY,623.2936785,R
STOKES,1366.387663,R
SURRY,1204.090038,R
SWAIN,259.3101646,R
TRANSYLVANIA,423.1843415,R
TYRRELL,228.2118185,R
UNION,942.0136092,R
VANCE,790.4633215,D
WAKE,6545.609545,D
WARREN,234.7081323,D
WASHINGTON,319.3534585,D
WATAUGA,1289.394855,D
WAYNE,1838.231548,R
WILKES,1235.435709,R
WILSON,547.15578,D
YADKIN,544.9757892,R
YANCEY,641.5792231,R
