COUNTY,PRECINCT,AVERAGE_DISTANCE
ALAMANCE,125,1078.3649
ALAMANCE,128,1115.5746
ALAMANCE,127,1120.4220
ALAMANCE,12N,1134.7744
ALAMANCE,12E,1275.7180
ALAMANCE,063,1276.4904
ALAMANCE,104,1382.5877
ALAMANCE,03W,1423.2057
ALAMANCE,03C,1565.0145
ALAMANCE,03N2,1752.8861
ALAMANCE,035,1860.3414
ALAMANCE,10N,1919.2925
ALAMANCE,03N,1997.0845
ALAMANCE,06S,2047.2867
ALAMANCE,129,2107.9203
ALAMANCE,03S,2997.4206
ALAMANCE,13,3013.5967
ALAMANCE,103,3040.3604
ALAMANCE,064,5431.8564
ALAMANCE,06E,5819.5895
ALAMANCE,05,5822.7941
ALAMANCE,06W,589.4215
ALAMANCE,01,6114.2924
ALAMANCE,02,6833.9279
ALAMANCE,1210,703.8895
ALAMANCE,124,745.4612
ALAMANCE,04,7541.1923
ALAMANCE,12S,803.7978
ALAMANCE,12W,834.3541
ALAMANCE,126,865.1483
ALAMANCE,06N,873.9969
ALAMANCE,08S,8839.4563
ALEXANDER,W,13303.3158
ALEXANDER,B2,18477.1635
ALEXANDER,T2T3,2504.7201
ALEXANDER,S1S2,3314.5895
ALEXANDER,G1G2,3405.5864
ALEXANDER,T1T4T5,4966.4960
ALEXANDER,M,5449.8740
ALEXANDER,E,7926.2808
ALLEGHANY,03A,4161.8349
ALLEGHANY,04,4176.8921
ANSON,POLK,1138.5114
ANSON,MM,1207.9029
ANSON,PEAC,1908.3288
ANSON,WADES,2080.6407
ANSON,LILE,3762.1866
ASHE,02,1306.3860
ASHE,17,1308.2005
ASHE,20,1709.3134
ASHE,04,2751.3460
ASHE,06,3137.9774
ASHE,03,3224.3122
ASHE,10,4126.3231
ASHE,14,6536.6724
ASHE,13,8055.2930
ASHE,09,8215.3512
ASHE,15,9677.6610
AVERY,06,1218.8218
AVERY,08,1410.2815
AVERY,11,1675.0285
AVERY,05,1841.7888
AVERY,12,2300.7399
AVERY,18,3259.0415
AVERY,15,491.5709
AVERY,14,540.7887
AVERY,01,641.7183
AVERY,02,968.2703
BEAUFORT,EDWAR,1175.3732
BEAUFORT,HB,12228.3688
BEAUFORT,WASH2,12989.3860
BEAUFORT,PSJW3,1598.0057
BEAUFORT,GILEA,1616.1598
BEAUFORT,WASH4,1652.1013
BEAUFORT,AUROR,1654.0206
BEAUFORT,BEADM,16810.6371
BEAUFORT,CHOCO,1994.7209
BEAUFORT,PANTE,296.7903
BEAUFORT,WASHP,3615.1663
BEAUFORT,PINET,6100.2894
BERTIE,M1,11980.8000
BERTIE,C1,1794.1896
BERTIE,RX,1918.8673
BERTIE,IW,5770.2847
BERTIE,M2,599.6263
BERTIE,W1,6375.2784
BERTIE,C2,6869.4486
BERTIE,WD,981.8750
BLADEN,P25,1260.0050
BLADEN,P502,1409.1606
BLADEN,P501,1520.2198
BLADEN,P80,2358.5057
BLADEN,P201,2389.4573
BLADEN,P55,4514.3829
BLADEN,P65,5398.5888
BLADEN,P40,6044.5981
BLADEN,P10,6668.5400
BLADEN,P35,8513.6893
BLADEN,P75,8740.6955
BLADEN,P60,888.8772
BRUNSWICK,02,2230.4536
BRUNSWICK,07,2706.4600
BRUNSWICK,23,3047.1247
BRUNSWICK,21,3083.2087
BRUNSWICK,14,3282.4206
BRUNSWICK,06,3301.9421
BRUNSWICK,13,3688.5622
BRUNSWICK,11,3726.8034
BRUNSWICK,18,3753.5705
BRUNSWICK,22,3771.9702
BRUNSWICK,04A,4060.4011
BRUNSWICK,05,4970.0249
BRUNSWICK,12,5041.5653
BRUNSWICK,20,5924.6818
BRUNSWICK,09,6460.5605
BRUNSWICK,16,6512.9557
BRUNSWICK,17,6750.1993
BRUNSWICK,08,932.7915
BUNCOMBE,21.1,1108.2999
BUNCOMBE,06.1,1127.3582
BUNCOMBE,60.4,12025.6657
BUNCOMBE,58.1,1265.6464
BUNCOMBE,05.1,1274.1932
BUNCOMBE,52.1,12997.3559
BUNCOMBE,20.1,1310.9992
BUNCOMBE,67.1,1315.3563
BUNCOMBE,08.2,1358.9172
BUNCOMBE,69.1,14218.4990
BUNCOMBE,23.3,1439.3739
BUNCOMBE,18.2,1502.3671
BUNCOMBE,64.1,1566.3869
BUNCOMBE,22.2,1694.7728
BUNCOMBE,39.3,17585.0472
BUNCOMBE,33.2,1859.3356
BUNCOMBE,30.3,1944.2464
BUNCOMBE,31.1,1973.2532
BUNCOMBE,50.1,1999.0342
BUNCOMBE,65.1,2013.6497
BUNCOMBE,14.2,2062.0130
BUNCOMBE,42.1,2115.8637
BUNCOMBE,54.2,2167.9262
BUNCOMBE,39.2,2236.2656
BUNCOMBE,59.1,2256.2135
BUNCOMBE,27.2,2307.1464
BUNCOMBE,24.1,2392.5155
BUNCOMBE,23.2,2504.6298
BUNCOMBE,19.1,2510.2286
BUNCOMBE,53.1,2531.4026
BUNCOMBE,56.2,2688.6843
BUNCOMBE,43.2,2885.1196
BUNCOMBE,48.1,3050.0765
BUNCOMBE,62.1,3421.9754
BUNCOMBE,47.1,3425.5544
BUNCOMBE,49.1,3567.5544
BUNCOMBE,38.2,4049.2985
BUNCOMBE,32.1,4335.7211
BUNCOMBE,60.2,4649.2383
BUNCOMBE,70.1,4802.9853
BUNCOMBE,04.1,493.5439
BUNCOMBE,34.1,522.8006
BUNCOMBE,66.1,5230.5990
BUNCOMBE,11.1,545.1258
BUNCOMBE,07.1,585.5874
BUNCOMBE,61.1,5955.3761
BUNCOMBE,71.1,6011.1809
BUNCOMBE,12.1,619.1247
BUNCOMBE,10.1,629.5312
BUNCOMBE,17.1,687.3477
BUNCOMBE,55.1,6938.3671
BUNCOMBE,68.1,7176.8638
BUNCOMBE,26.1,718.0863
BUNCOMBE,15.1,732.3192
BUNCOMBE,33.3,812.1850
BUNCOMBE,35.1,873.6371
BUNCOMBE,02.1,883.9740
BUNCOMBE,16.2,928.6822
BUNCOMBE,14.3,943.9676
BUNCOMBE,25.1,945.7028
BURKE,0064,1078.6583
BURKE,0031,1089.6110
BURKE,0021,1109.1808
BURKE,0040,1272.4729
BURKE,0029-A,12834.4052
BURKE,0065,13800.0219
BURKE,0024,1420.8180
BURKE,0034,1432.8210
BURKE,0022,1519.4905
BURKE,0062,15203.9404
BURKE,0048,1546.6912
BURKE,0052,16367.7326
BURKE,0001,1739.8907
BURKE,0014,1825.5827
BURKE,0070,1866.7783
BURKE,0029-B,18972.5708
BURKE,0018,1956.2349
BURKE,0036,2159.7913
BURKE,0038,2296.3112
BURKE,0051,2429.7295
BURKE,0003,3059.2833
BURKE,0015,3561.4093
BURKE,0020,5297.1710
BURKE,0053,8914.5890
BURKE,0035,954.4293
CABARRUS,12-14,1081.3016
CABARRUS,02-02,1107.5354
CABARRUS,12-11,1120.3555
CABARRUS,08-00,11233.1265
CABARRUS,11-01,11522.7567
CABARRUS,02-07,1197.1629
CABARRUS,06-00,12906.9629
CABARRUS,04-13,1468.4250
CABARRUS,02-08,1474.4621
CABARRUS,12-09,1523.0943
CABARRUS,01-02,15247.4787
CABARRUS,12-03,1531.8755
CABARRUS,02-03,1872.0731
CABARRUS,02-06,1973.1756
CABARRUS,02-01,2118.1377
CABARRUS,01-07,2272.8908
CABARRUS,01-11,2393.6220
CABARRUS,11-02,3238.0245
CABARRUS,10-00,3343.0859
CABARRUS,04-09,3628.1462
CABARRUS,01-04,4052.7825
CABARRUS,01-08,4967.0717
CABARRUS,02-05,5064.1676
CABARRUS,02-09,6954.4204
CABARRUS,12-12,7514.8396
CABARRUS,04-03,860.2602
CABARRUS,12-08,962.9270
CALDWELL,PR33,13088.0546
CALDWELL,PR17,1896.1522
CALDWELL,PR30,21495.3326
CALDWELL,PR24,2566.3683
CALDWELL,PR16,25876.5602
CALDWELL,PR34,27034.3563
CALDWELL,PR18,33835.0895
CALDWELL,PR21,39562.8350
CALDWELL,PR31,39995.3508
CALDWELL,PR07,42400.7179
CALDWELL,PR29,4598.9733
CALDWELL,PR14,6200.7605
CALDWELL,PR35,81.7447
CAMDEN,SM,9760.7801
CARTERET,BFT1,1117.7562
CARTERET,MHD1,1241.7037
CARTERET,PELE,1322.8643
CARTERET,NPT1,1527.9809
CARTERET,HAIS,1553.7012
CARTERET,NRIV,15538.0470
CARTERET,ABCH,1593.3657
CARTERET,MHD2,1603.8223
CARTERET,MHD3,1674.3783
CARTERET,BOGU,1801.2667
CARTERET,WILD,2083.6003
CARTERET,MASM,2229.2357
CARTERET,ISPK,2463.9984
CARTERET,NPT2,2571.9193
CARTERET,EMIS,3219.7039
CARTERET,DASW,3425.1658
CARTERET,ASCI,4404.5991
CARTERET,BCRK,4498.2929
CARTERET,BFT2,7194.3927
CASWELL,STON,20198.6264
CASWELL,YANC,2198.8365
CASWELL,PH,5294.9434
CASWELL,MILT,6497.4482
CATAWBA,32,1078.4102
CATAWBA,36,1226.8704
CATAWBA,25,1233.9258
CATAWBA,01,12420.5601
CATAWBA,38,1341.4010
CATAWBA,09,1382.3516
CATAWBA,39,1422.2197
CATAWBA,04,1425.0651
CATAWBA,40,1432.8586
CATAWBA,37,1468.1764
CATAWBA,17,1479.7373
CATAWBA,26,1605.5535
CATAWBA,30,1895.2803
CATAWBA,06,2015.5059
CATAWBA,07,2389.2655
CATAWBA,22,2874.7806
CATAWBA,29,3574.7604
CATAWBA,15,408.0342
CATAWBA,31,4207.7141
CATAWBA,20,4446.4288
CATAWBA,41,4496.0482
CATAWBA,28,4971.8135
CATAWBA,19,6657.6904
CATAWBA,34,7028.4879
CATAWBA,10,751.6760
CATAWBA,11,804.9772
CATAWBA,16,825.1035
CATAWBA,35,9001.7004
CATAWBA,12,903.4451
CATAWBA,13,921.7271
CATAWBA,14,973.4557
CHATHAM,42,11400.6487
CHATHAM,30,13168.8353
CHATHAM,45,13463.4098
CHATHAM,85,1844.0434
CHATHAM,MCH110,21150.6022
CHATHAM,18,24989.0348
CHATHAM,PIT113,2721.7250
CHATHAM,24,3072.2322
CHATHAM,6,3077.1480
CHATHAM,9,4236.3963
CHATHAM,20,6171.0671
CHEROKEE,MURN,22540.2316
CHEROKEE,MARB,2396.2184
CHEROKEE,PCHT,36277.0688
CHEROKEE,BRAS,5365.3343
CHEROKEE,MURS,5466.5030
CHEROKEE,ANSW,601.3396
CHEROKEE,UNKA,99.7352
CHOWAN,1,1001.0026
CHOWAN,3,14282.7635
CHOWAN,2,1533.9301
CHOWAN,6,3465.6175
CLAY,SHCR,131.8973
CLAY,HAY1,1402.3307
CLAY,BRAS,1987.0785
CLAY,SWEE,2269.0949
CLAY,HAYC,548.1054
CLAY,TUSQ,6391.2766
CLEVELAND,LAWNDL,1781.5178
